Version,N,Threads,Time
OMP_SMART,500000,1,0.000168883
OMP_NAIVE,500000,1,0.000931022
OMP_SMART,500000,1,0.000159384
OMP_NAIVE,500000,1,0.00110836
OMP_SMART,500000,1,0.000173283
OMP_NAIVE,500000,2,0.000706823
OMP_SMART,500000,2,8.4371e-05
OMP_NAIVE,500000,2,0.000894424
OMP_SMART,500000,2,0.000154077
OMP_NAIVE,500000,2,0.000863483
OMP_SMART,500000,2,7.8366e-05
OMP_NAIVE,500000,2,0.00090057
OMP_SMART,500000,2,8.7375e-05
OMP_NAIVE,500000,2,0.000888487
OMP_SMART,500000,2,0.000109376
OMP_NAIVE,500000,4,0.000539825
OMP_SMART,500000,4,6.719e-05
OMP_NAIVE,500000,4,0.000556587
OMP_SMART,500000,4,6.6701e-05
OMP_NAIVE,500000,4,0.000683216
OMP_SMART,500000,4,6.6701e-05
OMP_NAIVE,500000,4,0.000538778
OMP_SMART,500000,4,6.2021e-05
OMP_NAIVE,500000,4,0.000544295
OMP_SMART,500000,4,5.7202e-05
OMP_NAIVE,500000,8,0.000545762
OMP_SMART,500000,8,6.9704e-05
OMP_NAIVE,500000,8,0.000522504
OMP_SMART,500000,8,5.825e-05
OMP_NAIVE,500000,8,0.000557356
OMP_SMART,500000,8,6.726e-05
OMP_NAIVE,500000,8,0.000503157
OMP_SMART,500000,8,6.293e-05
OMP_NAIVE,500000,8,0.000607365
OMP_SMART,500000,8,6.2929e-05
OMP_NAIVE,500000,16,0.000832751
OMP_SMART,500000,16,4.8122e-05
OMP_NAIVE,500000,16,0.000704448
OMP_SMART,500000,16,6.6282e-05
OMP_NAIVE,500000,16,0.000975373
OMP_SMART,500000,16,4.924e-05
OMP_NAIVE,500000,16,0.000962592
OMP_SMART,500000,16,6.1044e-05
OMP_NAIVE,500000,16,0.000710664
OMP_SMART,500000,16,4.8123e-05
OMP_NAIVE,1000000,1,0.00219429
OMP_SMART,1000000,1,0.00041264
OMP_NAIVE,1000000,1,0.00282093
OMP_SMART,1000000,1,0.000460203
OMP_NAIVE,1000000,1,0.00199824
OMP_SMART,1000000,1,0.000397692
OMP_NAIVE,1000000,1,0.00206431
OMP_SMART,1000000,1,0.000419204
OMP_NAIVE,1000000,1,0.00189487
OMP_SMART,1000000,1,0.00029593
OMP_NAIVE,1000000,2,0.00130231
OMP_SMART,1000000,2,0.000199894
OMP_NAIVE,1000000,2,0.00125691
OMP_SMART,1000000,2,0.000287898
